date,price
2021-06-17,13.32
2021-06-18,12.59
2021-06-21,11.72
2021-06-22,11.67
2021-06-23,12.04
2021-06-24,11.88
2021-06-25,11.85
2021-06-28,11.92
2021-06-29,11.52
2021-06-30,11.69
2021-07-01,11
2021-07-02,10.93
2021-07-06,10.21
2021-07-07,10
2021-07-08,10.63
2021-07-09,10.96
2021-07-12,10.83
2021-07-13,10.32
2021-07-14,10.37
2021-07-15,10.06
2021-07-16,9.89
2021-07-19,9.55
2021-07-20,9.36
2021-07-21,9.2
2021-07-22,9.26
2021-07-23,9.28
2021-07-26,8.58
2021-07-27,8.28
2021-07-28,8.46
2021-07-29,8.02
2021-07-30,7.85
2021-08-02,8.23
2021-08-03,8.68
2021-08-04,8.65
2021-08-05,8.82
2021-08-06,8.7
2021-08-09,8.96
2021-08-10,8.61
2021-08-11,8.2
2021-08-12,7.93
2021-08-13,7.6
2021-08-16,7.29
2021-08-17,8.25
2021-08-18,8.01
2021-08-19,8.03
2021-08-20,8.71
2021-08-23,8.29
2021-08-24,8.76
2021-08-25,8.74
2021-08-26,8.81
2021-08-27,9.01
2021-08-30,8.68
2021-08-31,8.6
2021-09-01,8.74
2021-09-02,8.89
2021-09-03,8.98
2021-09-07,8.17
2021-09-08,8.03
2021-09-09,8.56
2021-09-10,8.44
2021-09-13,8.13
2021-09-14,8.26
2021-09-15,8.08
2021-09-16,8.09
2021-09-17,8.34
2021-09-20,8.7
2021-09-21,8.52
2021-09-22,8.88
2021-09-23,9.2
2021-09-24,9.28
2021-09-27,8.72
2021-09-28,8.51
2021-09-29,8.53
2021-09-30,9.06
2021-10-01,8.89
2021-10-04,8.15
2021-10-05,8.16
2021-10-06,8
2021-10-07,7.75
2021-10-08,7.53
2021-10-11,7.68
2021-10-12,7.54
2021-10-13,7.95
2021-10-14,7.88
2021-10-15,9.21
2021-10-18,8.91
2021-10-19,9.63
2021-10-20,10.2
2021-10-21,10.33
2021-10-22,10.87
2021-10-25,11.36
2021-10-26,11.94
2021-10-27,12.4
2021-10-28,11.99
2021-10-29,11.59
2021-11-01,11.72
2021-11-02,12.04
2021-11-03,12.37
2021-11-04,12.87
2021-11-05,13.25
2021-11-08,12.67
2021-11-09,11.93
2021-11-10,11.52
2021-11-11,13.06
2021-11-12,12.62
2021-11-15,11.17
2021-11-16,10.99
2021-11-17,10.81
2021-11-18,10.16
2021-11-19,9.97
2021-11-22,8.99
2021-11-23,8.83
2021-11-24,9.195
2021-11-26,9.14
2021-11-29,8.85
2021-11-30,8.22
2021-12-01,7.54
2021-12-02,8
2021-12-03,7.65
2021-12-06,7.88
2021-12-07,8.19
2021-12-08,8.38
2021-12-09,8.35
2021-12-10,8
2021-12-13,7.55
2021-12-14,7.48
2021-12-15,7.6
2021-12-16,7.16
2021-12-17,7.14
2021-12-20,6.61
2021-12-21,6.86
2021-12-22,6.96
2021-12-23,7.43
2021-12-27,6.78
2021-12-28,6.79
2021-12-29,6.55
2021-12-30,6.9
2021-12-31,6.66
2022-01-03,7.12
2022-01-04,6.79
2022-01-05,6.16
2022-01-06,6.21
2022-01-07,6.16
2022-01-10,6.06
2022-01-11,6.09
2022-01-12,5.78
2022-01-13,5.41
2022-01-14,5.18
2022-01-18,4.84
2022-01-19,4.81
2022-01-20,4.65
2022-01-21,4.5
2022-01-24,4.58
2022-01-25,4.4
2022-01-26,4.41
2022-01-27,4.21
2022-01-28,4.21
2022-01-31,4.67
2022-02-01,4.91
2022-02-02,4.69
2022-02-03,4.53
2022-02-04,4.75
2022-02-07,4.93
2022-02-08,4.88
2022-02-09,5
2022-02-10,4.97
2022-02-11,4.52
2022-02-14,4.49
2022-02-15,4.71
2022-02-16,4.87
2022-02-17,4.71
2022-02-18,4.44
2022-02-22,4.3
2022-02-23,4.21
2022-02-24,4.31
2022-02-25,4.23
2022-02-28,4.47
2022-03-01,4.38
2022-03-02,4.3
2022-03-03,4.06
2022-03-04,3.75
2022-03-07,4.06
2022-03-08,4.22
2022-03-09,4.43
2022-03-10,4.17
2022-03-11,3.66
2022-03-14,3.28
2022-03-15,3.45
2022-03-16,3.5
2022-03-17,3.83
2022-03-18,3.72
2022-03-21,3.58
2022-03-22,3.83
2022-03-23,3.74
2022-03-24,3.76
2022-03-25,3.69
