date,price
2021-03-29,173.75
2021-03-30,173.32
2021-03-31,181.31
2021-04-01,185.82
2021-04-05,177.29
2021-04-06,178.76
2021-04-07,171.77
2021-04-08,176.27
2021-04-09,179.74
2021-04-12,175.65
2021-04-13,194.66
2021-04-14,201.34
2021-04-15,202.09
2021-04-16,227.35
2021-04-19,221.5
2021-04-20,208.15
2021-04-21,212.83
2021-04-22,207.3
2021-04-23,207.61
2021-04-26,221.5
2021-04-27,257.67
2021-04-28,244.27
2021-04-29,237.53
2021-04-30,236.93
2021-05-03,195.12
2021-05-04,180.67
2021-05-05,171.74
2021-05-06,172.52
2021-05-07,176
2021-05-10,160.5
2021-05-11,138.18
2021-05-12,127.82
2021-05-13,121
2021-05-14,131.69
2021-05-17,140.16
2021-05-18,144.55
2021-05-19,142.14
2021-05-20,146.39
2021-05-21,143.01
2021-05-24,145.92
2021-05-25,147.55
2021-05-26,150.9
2021-05-27,150.75
2021-05-28,147.62
2021-06-01,145.4
2021-06-02,171.3
2021-06-03,173.69
2021-06-04,183.01
2021-06-07,195.04
2021-06-08,198.85
2021-06-09,209.64
2021-06-10,204.94
2021-06-11,209.68
2021-06-14,207.71
2021-06-15,187.07
2021-06-16,176.24
2021-06-17,179.89
2021-06-18,174.41
2021-06-21,180.99
2021-06-22,194.37
2021-06-23,192.24
2021-06-24,192.48
2021-06-25,189.79
2021-06-28,194.5
2021-06-29,208.94
2021-06-30,212.31
2021-07-01,215.76
2021-07-02,217.22
2021-07-06,215.19
2021-07-07,185.78
2021-07-08,189.64
2021-07-09,188.59
2021-07-12,188.36
2021-07-13,184.18
2021-07-14,177.8
2021-07-15,179.14
2021-07-16,186.65
2021-07-19,210.51
2021-07-20,207.19
2021-07-21,210.23
2021-07-22,209.89
2021-07-23,203.24
2021-07-26,193.36
2021-07-27,179.01
2021-07-28,189.01
2021-07-29,184
2021-07-30,179.33
2021-08-02,182.72
2021-08-03,188.57
2021-08-04,223.81
2021-08-05,236.2
2021-08-06,189.89
2021-08-09,213.13
2021-08-10,230.21
2021-08-11,234.3
2021-08-12,247.24
2021-08-13,257.27
2021-08-16,229.31
2021-08-17,234.57
2021-08-18,226.99
2021-08-19,217.47
2021-08-20,230.89
2021-08-23,251
2021-08-24,233.01
2021-08-25,238.18
2021-08-26,230.34
2021-08-27,226.67
2021-08-30,233.23
2021-08-31,238.54
2021-09-01,252.06
2021-09-02,258.99
2021-09-03,251.49
2021-09-07,270.58
2021-09-08,266.8
2021-09-09,258.77
2021-09-10,242.18
2021-09-13,233.83
2021-09-14,234.29
2021-09-15,232.3
2021-09-16,237.27
2021-09-17,237.54
2021-09-20,226.92
2021-09-21,230.29
2021-09-22,232.01
2021-09-23,257.3
2021-09-24,248.16
2021-09-27,231.04
2021-09-28,204.83
2021-09-29,203.53
2021-09-30,207.31
2021-10-01,181.6
2021-10-04,178.27
2021-10-05,170
2021-10-06,161.89
2021-10-07,165.68
2021-10-08,164.05
2021-10-11,165.39
2021-10-12,163.22
2021-10-13,166.39
2021-10-14,169.74
2021-10-15,161.95
2021-10-18,166.25
2021-10-19,160.55
2021-10-20,136.86
2021-10-21,138.79
2021-10-22,134.56
2021-10-25,135.35
2021-10-26,134.99
2021-10-27,141.55
2021-10-28,150.62
2021-10-29,148.83
2021-11-01,172.45
2021-11-02,195.3
2021-11-03,195.2
2021-11-04,179.41
2021-11-05,159.19
2021-11-08,173.02
2021-11-09,169.3
2021-11-10,164.19
2021-11-11,169.38
2021-11-12,169.89
2021-11-15,172.45
2021-11-16,170.49
2021-11-17,183.99
2021-11-18,191.05
2021-11-19,192.34
2021-11-22,207.99
2021-11-23,200.71
2021-11-24,200.07
2021-11-26,217.97
2021-11-29,193.96
2021-11-30,208.63
2021-12-01,192.65
2021-12-02,161.97
2021-12-03,160.48
2021-12-06,141.86
2021-12-07,182.85
2021-12-08,181.75
2021-12-09,177.38
2021-12-10,166.56
2021-12-13,169.06
2021-12-14,168.43
2021-12-15,179.49
2021-12-16,194.92
2021-12-17,217.32
2021-12-20,201.95
2021-12-21,191.07
2021-12-22,183.3
2021-12-23,177.25
2021-12-27,157.8
2021-12-28,155.84
2021-12-29,153.25
2021-12-30,154.83
2021-12-31,143.07
2022-01-03,142.9
2022-01-04,138.45
2022-01-05,122.41
2022-01-06,121.5
2022-01-07,126.7
2022-01-10,134.99
2022-01-11,130.68
2022-01-12,130.17
2022-01-13,112.38
2022-01-14,110.82
2022-01-18,98.44
2022-01-19,92.33
2022-01-20,90.36
2022-01-21,84.65
2022-01-24,79.47
2022-01-25,77.21
2022-01-26,79.18
2022-01-27,72.92
2022-01-28,82.92
2022-01-31,93.7
2022-02-01,95.18
2022-02-02,89.44
2022-02-03,88.49
2022-02-04,89.33
2022-02-07,94.8
2022-02-08,83.45
2022-02-09,91.79
2022-02-10,88
2022-02-11,90.44
2022-02-14,80.11
2022-02-15,87.13
2022-02-16,86.55
2022-02-17,83.44
2022-02-18,81.89
2022-02-22,79.39
2022-02-23,73.49
2022-02-24,79.95
2022-02-25,81.63
2022-02-28,83.37
2022-03-01,83.74
2022-03-02,86.39
2022-03-03,80.53
2022-03-04,71.72
2022-03-07,69.73
2022-03-08,72.79
2022-03-09,79.07
2022-03-10,77.77
2022-03-11,72.99
2022-03-14,71.93
2022-03-15,73.8
2022-03-16,77.49
2022-03-17,79.23
2022-03-18,82.3
2022-03-21,78.56
2022-03-22,83.8
2022-03-23,80.18
2022-03-24,81.45
2022-03-25,74.13
